ID2,SeriesName,Latitude,Longitude
142,Naff,46.780190999938654,-117.07933899999969
143,Naff,46.780103819116164,-117.07890309813104
144,Naff,46.78012399992088,-117.07850299999635
145,Naff,46.78012899996144,-117.07808499999832
146,Naff,46.780065999927274,-117.07766699999743
147,Naff,46.78022999996864,-117.07724899999715
148,Naff,46.78000399993077,-117.0768309999958
149,Palouse,46.7804219999091,-117.08710299999854
150,Latah,46.78050699998091,-117.08668499999487
151,Palouse,46.780455442157496,-117.08622506234254
152,Palouse,46.78037121700097,-117.08583326918452
153,Palouse,46.78049999990936,-117.08543099999356
154,Thatuna,46.78034799993839,-117.08501300000277
155,Thatuna,46.780436999952286,-117.08459499999874
156,Thatuna,46.78038999990885,-117.08417700000531
157,Thatuna,46.78045299996624,-117.08375900000387
158,Palouse,46.78037399989947,-117.08334099999553
159,Palouse,46.780442999940696,-117.08292299999722
160,Thatuna,46.780479999954615,-117.08250499999951
161,Thatuna,46.78028199996827,-117.0820870000058
162,Thatuna,46.78040872718312,-117.08164512808733
163,Palouse,46.78042299992813,-117.08125099999894
164,Palouse,46.780278999928726,-117.08083300000357
165,Palouse,46.78054199995049,-117.08041499999904
166,Palouse,46.78051299996241,-117.07999700000528
167,Palouse,46.78047699992901,-117.0795789999981
168,Naff,46.78039799989547,-117.0791609999994
169,Naff,46.78040999995771,-117.07874299999864
170,Naff,46.78041499997447,-117.07832499999698
171,Naff,46.78035199991979,-117.07790700000426
172,Palouse,46.780515999929435,-117.07748900000053
173,Thatuna,46.78028999996928,-117.07707100000256
174,Thatuna,46.78041399992771,-117.07665300000396
175,Latah,46.78070799993242,-117.08687899999867
176,Latah,46.78080096875128,-117.08647677946928
177,Palouse,46.780762999966555,-117.08604300000346
178,Palouse,46.78066799990694,-117.0856250000002
179,Thatuna,46.78078599989528,-117.08520700000076
180,Thatuna,46.78063399992381,-117.08478899999794
181,Thatuna,46.78072299992474,-117.08437100000596
182,Thatuna,46.780656922498956,-117.08392119332612
183,Palouse,46.7807389999211,-117.08353499999848
184,Palouse,46.78065999993992,-117.08311700000357
185,Thatuna,46.78072899996931,-117.08269899999533
186,Thatuna,46.78076599988311,-117.08228100000211
187,Thatuna,46.78056799989842,-117.0818630000035
188,Palouse,46.78070699988253,-117.08144500000591
189,Palouse,46.78070899992435,-117.08102700000367
190,Palouse,46.78056499992378,-117.08060900000253
191,Palouse,46.780827999923986,-117.08019099999701
192,Palouse,46.7807989999291,-117.07977300000604
193,Palouse,46.78076299997925,-117.07935500000457
194,Palouse,46.780663533534714,-117.07891311663295
195,Palouse,46.78069599990439,-117.07851899999535
196,Palouse,46.78070099991263,-117.07810099999989
197,Palouse,46.78063799994261,-117.07768299999361
198,Palouse,46.78080199993588,-117.07726500000574
199,Thatuna,46.78057599988872,-117.07684700000084
200,Latah,46.78105310307771,-117.08662619510524
201,Thatuna,46.781048999947075,-117.08624199999511
202,Palouse,46.78095399989878,-117.08582399999516
203,Thatuna,46.78107199988807,-117.08540599999941
204,Thatuna,46.780919999930674,-117.08498799999913
205,Palouse,46.78100899993385,-117.08456999999544
206,Thatuna,46.78096199989354,-117.08415199999789
207,Palouse,46.78103937750287,-117.08375497412149
208,Palouse,46.78094599997211,-117.08331599999732
209,Naff,46.78101499991483,-117.08289799999511
210,Naff,46.78105199992345,-117.08247999999489
211,Thatuna,46.780853999955134,-117.0820619999993
212,Thatuna,46.780992999938995,-117.08164400000433
213,Thatuna,46.78099499989776,-117.08122599999662
214,Palouse,46.78085099991097,-117.08080800000135
215,Palouse,46.78111806295609,-117.08043771338271
216,Palouse,46.78108499991799,-117.0799720000048
217,Palouse,46.78104899988643,-117.07955400000162
218,Palouse,46.78096999994907,-117.07913600000025
219,Palouse,46.78098199991846,-117.07871799999488
220,Palouse,46.78098699993287,-117.0783000000051
221,Palouse,46.780923999882944,-117.07788200000236
222,Palouse,46.78108799996464,-117.07746400000462
223,Palouse,46.78086199993544,-117.07704600000432
224,Palouse,46.780985999969666,-117.07662800000342
225,Palouse,46.78136499992589,-117.08629499999677
226,Thatuna,46.78132061882793,-117.08586126318188
227,Palouse,46.781222028363466,-117.085432781681
228,Staley,46.781357999900564,-117.08504099999855
229,Naff,46.7812059999674,-117.08462300000323
230,Staley,46.78129499989279,-117.08420500000199
231,Palouse,46.78124799996149,-117.08378699999507
232,Staley,46.781270442185765,-117.08328225490125
233,Staley,46.78123199989404,-117.08295099999891
234,Palouse,46.78130099993979,-117.08253300000334
235,Palouse,46.78133799996325,-117.08211500000299
236,Palouse,46.7811399999319,-117.0816969999953
237,Palouse,46.78126347508779,-117.08124366991642
238,Staley,46.781280999900446,-117.08086099999849
239,Palouse,46.78115337783654,-117.0804549512325
240,Palouse,46.781446359668784,-117.08011052759532
241,Palouse,46.78137099996601,-117.0796070000038
242,Palouse,46.78133499995303,-117.07918899999551
243,Palouse,46.781255999946225,-117.07877100000404
244,Palouse,46.78129255485524,-117.07838881623466
245,Palouse,46.781272999962624,-117.07793500000038
246,Palouse,46.78120999993235,-117.07751700000442
247,Palouse,46.78137399993238,-117.0770990000005
248,Palouse,46.78116437422761,-117.07669891350665
249,Thatuna,46.78152599994721,-117.08586399999903
250,Thatuna,46.78164399998031,-117.08544600000168
251,Staley,46.78149199991389,-117.08502800000514
252,Staley,46.781555835614775,-117.08457853252088
253,Staley,46.78153399989409,-117.0841919999982
254,Staley,46.78159699990262,-117.08377400000477
255,Palouse,46.781517999905816,-117.08335600000031
256,Palouse,46.78158699989726,-117.08293799999882
257,Palouse,46.781623999957816,-117.08252000000131
258,Palouse,46.781425999885386,-117.08210200000103
259,Palouse,46.78156499991086,-117.08168399999406
260,Palouse,46.78156699992506,-117.08126600000192
261,Staley,46.78142299991836,-117.08084800000366
262,Palouse,46.78168599994158,-117.08043000000286
263,Palouse,46.7816569999235,-117.08001200000207
264,Palouse,46.78162099995139,-117.07959399999892
265,Palouse,46.78153381913159,-117.07915809762375
266,Palouse,46.78155399992148,-117.07875799999572
267,Palouse,46.78155899990151,-117.07833999999748
268,Palouse,46.78149599991356,-117.07792200000058
269,Thatuna,46.781659999944395,-117.07750399999638
270,Palouse,46.781433999903534,-117.07708599999677
271,Palouse,46.78155799989134,-117.07666799999858
272,Thatuna,46.78181199997472,-117.08558999999615
273,Thatuna,46.78192999990112,-117.08517200000416
274,Palouse,46.78177799992123,-117.08475400000546
275,Palouse,46.78187777920374,-117.0843569689931
276,Palouse,46.781819999967325,-117.08391799999669
277,Staley,46.78188299996177,-117.0834999999991
278,Palouse,46.781803999957994,-117.08308200000249
279,Palouse,46.781859366621376,-117.0826500763846
280,Palouse,46.781909999892825,-117.08224600000463
281,Staley,46.78170481474295,-117.081812275046
282,Palouse,46.781850999916706,-117.08140999999634
283,Palouse,46.78185299991992,-117.08099199999465
284,Palouse,46.781708999909526,-117.08057400000601
285,Palouse,46.78197199990839,-117.08015599999653
286,Palouse,46.781942999970774,-117.07973799999927
287,Palouse,46.78190699989953,-117.07931999999555
288,Palouse,46.78180208432097,-117.07886618635686
289,Palouse,46.78183999994121,-117.07848400000563
290,Palouse,46.78184499990984,-117.07806599999573
291,Palouse,46.78178199991402,-117.0776480000042
292,Thatuna,46.78194599992576,-117.07722999999503
293,Palouse,46.78171999997544,-117.07681200000145
297,Thatuna,46.78209799989935,-117.0855360000011
298,Palouse,46.782215999892216,-117.08511799999734
299,Palouse,46.78206399990272,-117.08470000000588
300,Thatuna,46.78215299991522,-117.08428200000387
301,Palouse,46.782105999911764,-117.08386399999557
302,Palouse,46.78215461845348,-117.08343026358291
303,Palouse,46.7820792166681,-117.08301226925151
304,Palouse,46.78215899991428,-117.08261000000589
305,Palouse,46.782195999942964,-117.08219199999485
306,Palouse,46.781997999951834,-117.08177400000329
307,Palouse,46.78213699993497,-117.08135599999358
308,Palouse,46.78213899992067,-117.08093800000347
309,Palouse,46.78197702354909,-117.08049902100075
310,Thatuna,46.782257999958304,-117.08010200000612
311,Thatuna,46.78222899991484,-117.07968399999865
312,Palouse,46.782213457981285,-117.0793018112563
313,Thatuna,46.78211399993361,-117.07884800000541
314,Thatuna,46.78212599992795,-117.07843000000393
315,Thatuna,46.782147365921674,-117.07804184129827
316,Thatuna,46.78206799995913,-117.07759399999564
323,Palouse,46.782492474696795,-117.0851352207382
324,Palouse,46.7823499998927,-117.08475100000489
325,Palouse,46.78243899990683,-117.08433299999629
326,Palouse,46.78239199991183,-117.08391499999611
327,Palouse,46.782454999978526,-117.0834969999969
328,Palouse,46.782375999971244,-117.08307900000436
329,Palouse,46.78243781478953,-117.08264527472784
330,Palouse,46.78248199996288,-117.08224300000398
331,Palouse,46.78228399989789,-117.08182499999461
332,Palouse,46.782422999970144,-117.08140699999979
333,Palouse,46.782424999961584,-117.08098899999887
334,Palouse,46.7822809999546,-117.08057100000399
335,Palouse,46.78254399991565,-117.08015299999747
336,Palouse,46.782514999969635,-117.07973500000227
337,Palouse,46.7824789998908,-117.07931700000091
338,Thatuna,46.78239454806939,-117.0788910475271
348,Palouse,46.78263599989342,-117.08461700000548
349,Palouse,46.78272499995361,-117.08419900000001
350,Palouse,46.78267799992125,-117.08378099999861
351,Staley,46.78274099994523,-117.08336300000123
352,Palouse,46.78264762599302,-117.08291878734107
353,Palouse,46.78273099990793,-117.08252699999638
354,Palouse,46.782767999899285,-117.0821089999953
355,Palouse,46.782569999894534,-117.0816910000048
356,Palouse,46.78270899992037,-117.08127299999404
357,Palouse,46.78271099996207,-117.08085500000182
358,Palouse,46.78255607662502,-117.08041407699677
359,Palouse,46.78282999992081,-117.0800189999952
360,Palouse,46.78280099993663,-117.0796009999936
371,Latah,46.78296596652599,-117.08422983281707
372,Latah,46.782963999900694,-117.08379799999847
373,Thatuna,46.783026999893536,-117.08337999999553
374,Palouse,46.78294799991648,-117.08296200000365
375,Palouse,46.78300621662569,-117.08252826907413
376,Thatuna,46.783053999941856,-117.08212599999965
377,Palouse,46.78282132260876,-117.0816503302358
378,Palouse,46.782994999909796,-117.08129000000623
379,Palouse,46.78299699992341,-117.08087200000196
380,Palouse,46.78285299995285,-117.0804540000035
381,Thatuna,46.783115999909825,-117.08003599999518
394,Latah,46.78312584941863,-117.0839098486279
395,Caldwell,46.783312999978065,-117.08349799999978
396,Thatuna,46.78323399989569,-117.08308000000513
397,Palouse,46.78330299993713,-117.08266199999738
398,Latah,46.783357968463136,-117.08227545647198
399,Thatuna,46.783141999935594,-117.08182599999549
400,Thatuna,46.78328099989995,-117.08140799999418
401,Thatuna,46.78328299989447,-117.08098999999457
402,Palouse,46.783138999912026,-117.08057199999519
419,Thatuna,46.78345710314093,-117.08321056236605
420,Palouse,46.78351532419565,-117.08277087324753
421,Latah,46.78355231416721,-117.08236677700319
422,Thatuna,46.78342799995201,-117.08193300000644
423,Latah,46.78355262943514,-117.08148354907998
424,Latah,46.78356899996493,-117.08109699999838
425,Caldwell,46.78342499993061,-117.0806790000011
